f1,dataset,model,odr,rank
0.5820257357142287,Pfam,custom,0.5,max
0.5680927524809963,Pfam,custom,0.5,max
0.572768157336945,Pfam,custom,0.5,max
0.5342855681800256,Pfam,custom,0.5,max
0.5690100051336788,Pfam,custom,0.5,max
0.5491397663810629,Pfam,custom,0.5,max
0.5693657562922619,Pfam,custom,0.5,max
0.5684900024280757,Pfam,custom,0.5,max
0.5772196053254257,Pfam,custom,0.5,max
0.5562685128423575,Pfam,custom,0.5,max
0.5682277091728153,Pfam,custom,0.6,max
0.558269381804356,Pfam,custom,0.6,max
0.5661186559660255,Pfam,custom,0.6,max
0.5508300864379468,Pfam,custom,0.6,max
0.5703561543385286,Pfam,custom,0.6,max
0.5725355213024994,Pfam,custom,0.6,max
0.5591115179109742,Pfam,custom,0.6,max
0.557959944576391,Pfam,custom,0.6,max
0.5658027725127607,Pfam,custom,0.6,max
0.5694434079572909,Pfam,custom,0.6,max
0.5869041633057661,Pfam,custom,0.7,max
0.5959772482257504,Pfam,custom,0.7,max
0.5802092908990087,Pfam,custom,0.7,max
0.5824513249765016,Pfam,custom,0.7,max
0.586898219723668,Pfam,custom,0.7,max
0.6000506268726987,Pfam,custom,0.7,max
0.5846644210656149,Pfam,custom,0.7,max
0.6005286388218982,Pfam,custom,0.7,max
0.5934450112553732,Pfam,custom,0.7,max
0.5853672172113209,Pfam,custom,0.7,max
0.5693252864998026,Pfam,custom,0.8,max
0.5536937899830153,Pfam,custom,0.8,max
0.5437244287885925,Pfam,custom,0.8,max
0.5606095007835012,Pfam,custom,0.8,max
0.5686852458853013,Pfam,custom,0.8,max
0.5615948351904108,Pfam,custom,0.8,max
0.5569825502005752,Pfam,custom,0.8,max
0.5590773571614053,Pfam,custom,0.8,max
0.5559435610234621,Pfam,custom,0.8,max
0.542705794252255,Pfam,custom,0.8,max
0.6011146662234557,Pfam,custom,0.9,max
0.604615768118391,Pfam,custom,0.9,max
0.6137580311578439,Pfam,custom,0.9,max
0.598074759028028,Pfam,custom,0.9,max
0.599105992755435,Pfam,custom,0.9,max
0.6075408043986446,Pfam,custom,0.9,max
0.5963631633310703,Pfam,custom,0.9,max
0.5927731874928304,Pfam,custom,0.9,max
0.6004926357748323,Pfam,custom,0.9,max
0.6062077683443057,Pfam,custom,0.9,max
0.5591580495703781,Pfam,custom,0.5,q1
0.5492193413299783,Pfam,custom,0.5,q1
0.5592023270582358,Pfam,custom,0.5,q1
0.5347652809022533,Pfam,custom,0.5,q1
0.5510252417164458,Pfam,custom,0.5,q1
