f1,dataset,rank,model
0.8323831242873432,deeploc,min,custom
0.806146572104019,deeploc,min,custom
0.813441483198146,deeploc,min,custom
0.8146453089244852,deeploc,min,custom
0.8240740740740741,deeploc,min,custom
0.8137142857142857,deeploc,min,custom
0.8036739380022963,deeploc,min,custom
0.8228571428571428,deeploc,min,custom
0.8169642857142857,deeploc,min,custom
0.8036951501154734,deeploc,min,custom
0.8260355029585799,deeploc,q1,custom
0.8148148148148148,deeploc,q1,custom
0.8379888268156425,deeploc,q1,custom
0.8135198135198135,deeploc,q1,custom
0.8094674556213017,deeploc,q1,custom
0.8125727590221188,deeploc,q1,custom
0.7971188475390156,deeploc,q1,custom
0.7926380368098159,deeploc,q1,custom
0.8018648018648019,deeploc,q1,custom
0.8228299643281808,deeploc,q1,custom
0.8191616766467066,deeploc,q2,custom
0.8187001140250855,deeploc,q2,custom
0.8065268065268065,deeploc,q2,custom
0.7962529274004684,deeploc,q2,custom
0.8099173553719008,deeploc,q2,custom
0.8341121495327103,deeploc,q2,custom
0.8081048867699643,deeploc,q2,custom
0.8235294117647058,deeploc,q2,custom
0.8089097303634232,deeploc,q2,custom
0.8253968253968254,deeploc,q2,custom
0.783625730994152,deeploc,q3,custom
0.830316742081448,deeploc,q3,custom
0.8233970753655793,deeploc,q3,custom
0.8274285714285714,deeploc,q3,custom
0.8417350527549824,deeploc,q3,custom
0.8068181818181818,deeploc,q3,custom
0.8246445497630331,deeploc,q3,custom
0.7944572748267898,deeploc,q3,custom
0.8219832735961768,deeploc,q3,custom
0.826879271070615,deeploc,q3,custom
0.8143021914648212,deeploc,max,custom
0.8205128205128205,deeploc,max,custom
0.8170011806375442,deeploc,max,custom
0.7976190476190477,deeploc,max,custom
0.8086124401913876,deeploc,max,custom
0.8203939745075318,deeploc,max,custom
0.8152562574493445,deeploc,max,custom
0.8354430379746836,deeploc,max,custom
0.8352402745995423,deeploc,max,custom
0.8151549942594719,deeploc,max,custom
0.8166259168704156,immune,max,custom
0.8195121951219512,immune,max,custom
0.8309178743961353,immune,max,custom
0.8345679012345679,immune,max,custom
0.851581508515815,immune,max,custom
0.8418491484184915,immune,max,custom
0.8471177944862155,immune,max,custom
0.8407960199004975,immune,max,custom
0.8403755868544601,immune,max,custom
0.8374384236453202,immune,max,custom
0.8056872037914692,immune,q3,custom
0.8272506082725061,immune,q3,custom
0.8135593220338984,immune,q3,custom
0.8177339901477833,immune,q3,custom
0.8029197080291971,immune,q3,custom
0.7931034482758621,immune,q3,custom
0.8246445497630331,immune,q3,custom
0.8164251207729468,immune,q3,custom
0.831353919239905,immune,q3,custom
0.812807881773399,immune,q3,custom
0.8,immune,q2,custom
0.8282352941176471,immune,q2,custom
0.8314087759815243,immune,q2,custom
0.8039702233250621,immune,q2,custom
0.8255528255528255,immune,q2,custom
0.8391608391608392,immune,q2,custom
0.8672985781990521,immune,q2,custom
0.803921568627451,immune,q2,custom
0.8133971291866029,immune,q2,custom
0.8164251207729468,immune,q2,custom
0.819672131147541,immune,q1,custom
0.8376470588235294,immune,q1,custom
0.8452655889145496,immune,q1,custom
0.8352668213457076,immune,q1,custom
0.8199052132701422,immune,q1,custom
0.8482142857142857,immune,q1,custom
0.8564356435643564,immune,q1,custom
0.7839195979899497,immune,q1,custom
0.8162291169451074,immune,q1,custom
0.8267326732673267,immune,q1,custom
0.8202764976958525,immune,min,custom
0.7858823529411765,immune,min,custom
0.7865707434052758,immune,min,custom
0.8229885057471265,immune,min,custom
0.8456057007125891,immune,min,custom
0.8333333333333334,immune,min,custom
0.812933025404157,immune,min,custom
0.8306264501160093,immune,min,custom
0.832579185520362,immune,min,custom
0.7695852534562212,immune,min,custom
0.6061463349367949,pfam,min,custom
0.6135406557589431,pfam,min,custom
0.5998786103265326,pfam,min,custom
0.602181941091885,pfam,min,custom
0.588514039309001,pfam,min,custom
0.6156926555141438,pfam,min,custom
0.6267411202232062,pfam,min,custom
0.591712030575232,pfam,min,custom
0.5708031487993441,pfam,min,custom
0.5939201929208542,pfam,min,custom
0.6323707740972355,pfam,q1,custom
0.6456695311833895,pfam,q1,custom
0.6190403767375271,pfam,q1,custom
0.6237252846828983,pfam,q1,custom
0.6570031640863085,pfam,q1,custom
0.6014038684172557,pfam,q1,custom
0.6468312140525834,pfam,q1,custom
0.6286906679270251,pfam,q1,custom
0.6165997803443487,pfam,q1,custom
0.6353739350602312,pfam,q1,custom
0.6458071924609168,pfam,q2,custom
0.6362187206502223,pfam,q2,custom
0.6585572177950246,pfam,q2,custom
0.6481616195379338,pfam,q2,custom
0.6258573171049676,pfam,q2,custom
0.637879207105111,pfam,q2,custom
0.6223964278237419,pfam,q2,custom
0.6347426333509836,pfam,q2,custom
0.6244849849710076,pfam,q2,custom
0.6153354871228054,pfam,q2,custom
0.635431234768891,pfam,q3,custom
0.6455349683964444,pfam,q3,custom
0.614901061662024,pfam,q3,custom
0.633578923351899,pfam,q3,custom
0.6561068809878082,pfam,q3,custom
0.6356117121930586,pfam,q3,custom
0.6249737583047457,pfam,q3,custom
0.6430850535664885,pfam,q3,custom
0.625629750018803,pfam,q3,custom
0.603931131605377,pfam,q3,custom
0.6303206020083874,pfam,max,custom
0.6654212596959626,pfam,max,custom
0.6488183053530959,pfam,max,custom
0.6352076614744421,pfam,max,custom
0.664880985953215,pfam,max,custom
0.665725512734241,pfam,max,custom
0.6661842997099138,pfam,max,custom
0.632863692034179,pfam,max,custom
0.621349629912999,pfam,max,custom
0.6594559921369367,pfam,max,custom
0.7673617657369788,pfam,max,resnet
0.7841082956974089,pfam,max,resnet
0.7586968061235053,pfam,max,resnet
0.7823538953533031,pfam,max,resnet
0.7599469213774459,pfam,max,resnet
0.7692331565707666,pfam,max,resnet
0.7496411977885907,pfam,max,resnet
0.7655821381488459,pfam,max,resnet
0.7598788317525507,pfam,max,resnet
0.789509856755891,pfam,max,resnet
0.7900657093146582,pfam,q3,resnet
0.7932454530989792,pfam,q3,resnet
0.7808272753474508,pfam,q3,resnet
0.7722139813019369,pfam,q3,resnet
0.7715060261003783,pfam,q3,resnet
0.7699647331696072,pfam,q3,resnet
0.7571613084131839,pfam,q3,resnet
0.7885327275794841,pfam,q3,resnet
0.7555450840744864,pfam,q3,resnet
0.7808507868666366,pfam,q3,resnet
0.7574867026373148,pfam,q2,resnet
0.7482204633645686,pfam,q2,resnet
0.7759094658618784,pfam,q2,resnet
0.7523346866782987,pfam,q2,resnet
0.739493581526609,pfam,q2,resnet
0.7707081597366191,pfam,q2,resnet
0.7284275498095341,pfam,q2,resnet
0.7973728407692006,pfam,q2,resnet
0.7580356511145043,pfam,q2,resnet
0.7794741402713381,pfam,q2,resnet
0.7655972222910743,pfam,q1,resnet
0.7886401494871516,pfam,q1,resnet
0.7789302153879982,pfam,q1,resnet
0.7380887389947393,pfam,q1,resnet
0.7740627844651968,pfam,q1,resnet
0.7436540760804791,pfam,q1,resnet
0.6766994780759704,pfam,q1,resnet
0.7752097317380247,pfam,q1,resnet
0.7669755794827985,pfam,q1,resnet
0.7146698624411123,pfam,q1,resnet
0.8024650251307086,pfam,min,resnet
0.7596878497586641,pfam,min,resnet
0.7805123314867831,pfam,min,resnet
0.7377809921789749,pfam,min,resnet
0.7644543529857835,pfam,min,resnet
0.7407982840735091,pfam,min,resnet
0.770901163965711,pfam,min,resnet
0.728426878770674,pfam,min,resnet
0.7623050021624296,pfam,min,resnet
0.7496579416509579,pfam,min,resnet
0.8970588235294118,immune,min,resnet
0.8826291079812206,immune,min,resnet
0.8734491315136477,immune,min,resnet
0.8689655172413793,immune,min,resnet
0.8523809523809524,immune,min,resnet
0.8685446009389671,immune,min,resnet
0.8693467336683417,immune,min,resnet
0.8755980861244019,immune,min,resnet
0.8382687927107062,immune,min,resnet
0.8529411764705882,immune,min,resnet
0.5753424657534246,immune,q1,resnet
0.8188976377952756,immune,q1,resnet
0.8157894736842105,immune,q1,resnet
0.8393782383419689,immune,q1,resnet
0.8277634961439588,immune,q1,resnet
0.892018779342723,immune,q1,resnet
0.8878048780487805,immune,q1,resnet
0.7944444444444444,immune,q1,resnet
0.8526315789473684,immune,q1,resnet
0.76,immune,q1,resnet
0.858560794044665,immune,q2,resnet
0.863961813842482,immune,q2,resnet
0.9041095890410958,immune,q2,resnet
0.8693467336683417,immune,q2,resnet
0.8863636363636364,immune,q2,resnet
0.8741092636579573,immune,q2,resnet
0.7935871743486974,immune,q2,resnet
0.8678304239401496,immune,q2,resnet
0.8811188811188811,immune,q2,resnet
0.8826291079812206,immune,q2,resnet
0.8583877995642701,immune,q3,resnet
0.8752941176470588,immune,q3,resnet
0.897025171624714,immune,q3,resnet
0.8796296296296297,immune,q3,resnet
0.8444444444444444,immune,q3,resnet
0.8854625550660793,immune,q3,resnet
0.8716707021791767,immune,q3,resnet
0.8571428571428571,immune,q3,resnet
0.8534704370179949,immune,q3,resnet
0.8608923884514436,immune,q3,resnet
0.8957345971563981,immune,max,resnet
0.8509615384615384,immune,max,resnet
0.8868360277136259,immune,max,resnet
0.8651162790697674,immune,max,resnet
0.8735632183908046,immune,max,resnet
0.8355555555555556,immune,max,resnet
0.9086651053864169,immune,max,resnet
0.8538283062645011,immune,max,resnet
0.8571428571428571,immune,max,resnet
0.8641975308641975,immune,max,resnet
0.83745963401507,deeploc,max,resnet
0.7787610619469026,deeploc,max,resnet
0.797011207970112,deeploc,max,resnet
0.8205128205128205,deeploc,max,resnet
0.7158774373259053,deeploc,max,resnet
0.6956521739130435,deeploc,max,resnet
0.8167281672816729,deeploc,max,resnet
0.7913669064748201,deeploc,max,resnet
0.8324552160168599,deeploc,max,resnet
0.8082026537997588,deeploc,max,resnet
0.771505376344086,deeploc,q3,resnet
0.6277602523659306,deeploc,q3,resnet
0.7767741935483871,deeploc,q3,resnet
0.7097701149425287,deeploc,q3,resnet
0.7519788918205804,deeploc,q3,resnet
0.662557781201849,deeploc,q3,resnet
0.7310924369747899,deeploc,q3,resnet
0.7622739018087855,deeploc,q3,resnet
0.751696065128901,deeploc,q3,resnet
0.8205128205128205,deeploc,q3,resnet
0.7295597484276729,deeploc,q2,resnet
0.7798277982779828,deeploc,q2,resnet
0.8259023354564756,deeploc,q2,resnet
0.7801242236024845,deeploc,q2,resnet
0.7922497308934338,deeploc,q2,resnet
0.7595907928388747,deeploc,q2,resnet
0.7571428571428571,deeploc,q2,resnet
0.7737556561085973,deeploc,q2,resnet
0.7738095238095238,deeploc,q2,resnet
0.7686658506731946,deeploc,q2,resnet
0.7995418098510882,deeploc,q1,resnet
0.8224513172966781,deeploc,q1,resnet
0.729312762973352,deeploc,q1,resnet
0.6872246696035242,deeploc,q1,resnet
0.7751552795031056,deeploc,q1,resnet
0.770935960591133,deeploc,q1,resnet
0.7983706720977597,deeploc,q1,resnet
0.7746113989637305,deeploc,q1,resnet
0.7895362663495838,deeploc,q1,resnet
0.840958605664488,deeploc,q1,resnet
0.813599062133646,deeploc,min,resnet
0.7587064676616916,deeploc,min,resnet
0.8213166144200627,deeploc,min,resnet
0.8018539976825029,deeploc,min,resnet
0.7983623336745138,deeploc,min,resnet
0.82,deeploc,min,resnet
0.664756446991404,deeploc,min,resnet
0.6124401913875598,deeploc,min,resnet
0.7884856070087609,deeploc,min,resnet
0.8017817371937639,deeploc,min,resnet
