encoding,auroc,f1,task,type,dataset
WCYKMVHQFDGRLITNEASP,0.7505301768279242,0.8305766651765758,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7484743464175394,0.7715472481827622,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7436748509226473,0.8275555555555556,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7538598268275056,0.7668613913967074,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7474139927616911,0.8284182305630027,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7600524316978773,0.8087167070217918,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7514210134190545,0.8342198581560284,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7279913832313442,0.7055427251732102,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7473253974233405,0.8310421286031042,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7550638863077649,0.785132382892057,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7531566449294168,0.8322147651006712,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.764016898688789,0.8281611857341362,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7434076697054169,0.82688028482421,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7690445097399065,0.813079551000488,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7483934246911721,0.8294642857142858,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7524004453485355,0.8352524357838795,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7426068236548159,0.8291390728476821,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7706001601692101,0.7963152507676561,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7479930016658713,0.8305913739439751,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.758848372217618,0.7923387096774194,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7459448448674698,0.8268456375838926,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7471830868011083,0.7682672233820459,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7466131467110899,0.8306737588652482,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7576491959449844,0.8116634799235182,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7427840143315168,0.8238458090542358,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7323199979909089,0.799625468164794,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7481708899436618,0.8296164139161463,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7588079113544344,0.8211116300794021,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7417159870636854,0.8254674977738201,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7459797249219385,0.7551020408163265,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.741093726891964,0.8309982486865148,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.725558150631608,0.8255062473071951,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.740603313326134,0.8262411347517731,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7489222063169173,0.7931034482758621,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7510198927926647,0.8310991957104558,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7442078181549289,0.8201634877384196,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7495953913681632,0.8303571428571429,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.740817476860572,0.7658031088082902,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7432297814276265,0.8278615794143744,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7515933208881299,0.7958681751106739,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7483487782214521,0.8286353467561521,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7218643528633735,0.8295983086680762,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7467463885191604,0.8288770053475936,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.707111485025295,0.6706302021403091,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7479044063275209,0.8331862312444837,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7272358812515523,0.7182940516273849,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7477258204486413,0.8299198575244879,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.6373304480552278,0.7981072555205048,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7390455700935623,0.8273127753303965,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7592090319808245,0.824455766558592,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7462566725544199,0.8283548818546589,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7521765153988464,0.8268359020852222,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7480815970042219,0.8279569892473119,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7284964464200507,0.8285345938977224,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7457230077210488,0.8312720848056537,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7493707638173848,0.8172142526608052,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.749372856620653,0.8305084745762712,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.766284102229254,0.8084479371316307,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7510645392623845,0.8319215336602764,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7553317651260845,0.7913741223671013,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7422503494981457,0.8268206039076377,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7620559420265591,0.8119575699132112,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7444317481046179,0.8287488908606921,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7122479218463548,0.8186484174508126,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7512870740098948,0.8317715305667113,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7465217609683819,0.8157043879907622,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.745055403478518,0.8317180616740089,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7624968259150433,0.779874213836478,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7444317481046179,0.8287488908606921,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7407302767244002,0.7806096951524237,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7459008959988391,0.8303057155516171,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7594301715261559,0.8150261531145981,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.741582745255615,0.8272807794508414,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7362272616924919,0.7153536515238643,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7531566449294168,0.8322147651006712,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7494998200189189,0.7851031706089582,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7453665335643787,0.8289649044868947,binary,custom,deeploc
