encoding,auroc,f1,task,model,dataset
WCYKMVHQFDGRLITNEASP,0.7972490284445315,0.8091603053435115,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8478291042095294,0.8676867686768677,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8093853074687306,0.8206106870229007,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.828757225433526,0.8501805054151624,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8141022500898079,0.8220502901353965,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.7364084288560138,0.7934426229508197,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8018700401685118,0.8108108108108109,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.876334868227687,0.8895027624309392,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7990798798210379,0.811787072243346,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.838970804349956,0.8624667258207631,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8058195356128147,0.815028901734104,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8693033375787858,0.8829493087557604,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8078422487835145,0.8169556840077071,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8877914666405408,0.8960302457466919,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.802161915025636,0.8144624167459562,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.878053460043761,0.878968253968254,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8024537898827602,0.8180112570356473,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8875914405146794,0.8901960784313725,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8158371705692171,0.825,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8349253780085564,0.8589174800354925,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8107324221939192,0.8203650336215178,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.852741990790634,0.8725314183123878,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.804860226641847,0.8185255198487713,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8577467261030012,0.8738574040219378,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.817088354397309,0.8251207729468599,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8518745305509291,0.8712871287128713,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8158371705692171,0.825,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8522296789784788,0.8430962343096234,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8121754678162048,0.8197674418604651,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8616962215473041,0.8777372262773723,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7950385356454721,0.8126747437092264,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8688155187616342,0.8774928774928775,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8074585251951276,0.8183556405353728,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.881431452271317,0.887823585810163,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8108324352568499,0.8245283018867925,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8880792593318312,0.8954372623574145,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8110202148852095,0.8193236714975846,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8664968485679762,0.8692232055063913,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.807650386989321,0.817658349328215,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.881907024590967,0.883399209486166,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8098649619542145,0.8188824662813102,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8769941380098626,0.8780971258671952,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8111202279481402,0.8235294117647058,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8858606022011037,0.8908212560386474,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8075544560922243,0.8180076628352491,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.859861288004964,0.8720821661998133,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8172842983573365,0.8288973384030418,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8791086999118252,0.8762677484787018,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7978286959929461,0.8117313150425733,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8757511185134385,0.884469696969697,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8168005617060188,0.8261287223823247,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8660294405799941,0.8807339449541285,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8165127690147285,0.8271251193887297,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8850931550243297,0.8924833491912464,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8098649619542145,0.8188824662813102,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8571670585545866,0.871889400921659,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8058195356128147,0.815028901734104,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8732365043597532,0.8733798604187437,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7972490284445315,0.8091603053435115,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8733487639201856,0.8866359447004608,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8110242970510433,0.8238636363636364,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8809477156199993,0.8856589147286822,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8009107311975442,0.8143939393939394,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8756551876163418,0.8846880907372401,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8262385291140069,0.8336557059961315,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8858606022011037,0.8908212560386474,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7964856634335913,0.8165898617511521,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8309718003984193,0.8514492753623188,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7968653048561445,0.8106060606060606,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8802680350086542,0.8804780876494024,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8051480193331374,0.8174904942965779,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8845971718755102,0.8802456499488229,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8143900427810978,0.8210116731517509,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8821029685509943,0.8862973760932945,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8155493778779269,0.8260038240917782,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8752673818621207,0.8822966507177034,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.810444629502629,0.8213944603629417,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.856683321903269,0.8696461824953445,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8115039515365272,0.8221797323135756,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8117203063257242,0.8458904109589042,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.818247689494138,0.8300094966761633,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8641067404722249,0.8818755635707844,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8123673296103981,0.8190661478599222,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8573507560171125,0.8642925890279115,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8103486986055322,0.8217349857006673,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8500477613402567,0.8723404255319149,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.807654469155155,0.8222013170272813,binary,custom,immune
