encoding,auroc,accuracy,task,model,dataset
WCYKMVHQFDGRLITNEASP,0.8069133593857398,0.4312219222188979,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7278936592254894,0.42262392868076687,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.805241213587076,0.39609460588603485,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7349818913269203,0.3907583250036849,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8084472081549471,0.41362296247414354,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7256425523818331,0.3942663409042908,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8081104470189799,0.3972067458113765,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7298101384284893,0.3535059817234696,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8036522462642199,0.4622051816724403,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7342977047340439,0.3486213900948309,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8087870748170147,0.41281117732558553,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7346924999547821,0.3550787642677203,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8096288755171909,0.4748516735387735,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7395773313906953,0.34438356091436073,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8069186085988942,0.450080362508028,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7286472422074721,0.3546862146619675,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8034161492567327,0.4549412908519669,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7103906426571595,0.32858571555939947,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8049554422194554,0.41314214299385343,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7330286871158734,0.3781456483573292,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8063621519171299,0.4141035986434759,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7359046019639395,0.38328384395905485,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8072484164286955,0.44624205262156236,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7381708273911813,0.42123021137857897,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8083864483420816,0.4272675929417445,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7188581576167049,0.3277073886192574,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8050688552043292,0.3980136068555892,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7322913822695915,0.41025344180551604,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8079025722485211,0.46220410487343255,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7118464827131239,0.3348850058777802,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.7982380294750945,0.4675355372557487,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7307157510970372,0.38648824916367597,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8098061579053691,0.3904754340641437,multiclass,custom,tox
