sequence_id,signature_ac,start,stop
63033,PS51421,15,266
2CI98,PS50135,223,279
2CI98,PS01357,228,255
75326,PS51004,53,490
75326,PS50835,544,619
93004,PS00221,98,106
96FE7,PS50070,24,101
96FE7,PS00021,69,82
6QNK2,PS51828,79,276
6QNK2,PS50221,371,557
6QNK2,PS50261,566,810
6QNK2,PS00650,798,813
708S7,PS01206,307,327
708S6,PS01206,305,325
23507,PS00142,272,281
33527,PS50929,326,608
33527,PS50893,644,868
33527,PS00107,680,705
33527,PS00211,768,782
33527,PS50929,976,1256
33527,PS50893,1293,1527
33527,PS00211,1430,1444
708S8,PS01206,338,358
9Y4C2,PS51723,542,841
93295,PS01238,161,176
5EBN9,PS50267,29,559
5EBN9,PS00610,54,68
54982,PS51201,331,473
54982,PS51201,718,889
24210,PS50011,12,278
24210,PS51022,343,397
24210,PS51022,402,461
24210,PS50106,495,576
24210,PS50002,582,651
24210,PS50052,711,883
24210,PS00856,746,763
9SVT8,PS01219,206,231
42438,PS50011,57,315
42438,PS00107,63,86
42438,PS00108,177,189
42438,PS50222,358,393
42438,PS50222,395,430
42438,PS00018,408,420
42438,PS50222,431,466
42438,PS00018,444,456
42438,PS50222,467,502
42438,PS00018,480,492
5QGZ9,PS50041,140,249
9GKE8,PS50835,3,125
8NCG7,PS00120,437,446
14246,PS50026,31,68
14246,PS00010,47,58
14246,PS01187,80,106
14246,PS50026,80,118
14246,PS00010,97,108
14246,PS01187,132,157
14246,PS50026,132,171
14246,PS00010,148,159
14246,PS01186,157,170
14246,PS01187,172,197
14246,PS50026,172,209
14246,PS00010,188,199
14246,PS01187,221,244
14246,PS50026,221,256
14246,PS00010,235,246
14246,PS01187,268,294
14246,PS50026,268,305
14246,PS00010,285,296
14246,PS50221,431,597
14246,PS50261,602,848
14246,PS00650,836,851
9TV66,PS50042,596,711
9TV66,PS00888,623,639
8GWJ6,PS50053,8,76
923X1,PS50026,18,57
923X1,PS01186,42,56
923X1,PS01187,58,83
923X1,PS50026,58,95
923X1,PS00010,74,85
923X1,PS01187,108,133
923X1,PS50026,108,145
923X1,PS00010,124,135
923X1,PS50221,293,468
923X1,PS50261,476,717
923X1,PS00650,705,720
949G3,PS50893,165,438
949G3,PS50893,838,1090
9C6K9,PS50011,291,565
9C6K9,PS00107,297,319
9C6K9,PS00108,412,424
2K6F1,PS51202,211,295
2K6F1,PS51202,317,401
2K6F1,PS51202,406,491
2K6F1,PS51202,497,583
9LFB8,PS01022,86,110
9LFB8,PS01023,183,195
02785,PS50893,144,397
02785,PS50893,836,1084
9VWE0,PS50853,227,327
9VWE0,PS50853,329,431
9VWE0,PS50853,436,535
9VWE0,PS50853,537,631
9VWE0,PS00152,541,550
9VWE0,PS50853,635,735
9VWE0,PS50853,736,836
8W4I7,PS50011,54,312
8W4I7,PS00107,60,83
8W4I7,PS00108,174,186
8W4I7,PS50222,355,390
8W4I7,PS00018,368,380
8W4I7,PS50222,391,426
8W4I7,PS50222,427,462
8W4I7,PS50222,463,498
8W4I7,PS00018,476,488
5EGT9,PS50814,22,147
5EGT9,PS50011,281,583
5EGT9,PS00109,434,446
03614,PS50267,39,578
03614,PS00610,64,78
03614,PS00754,147,167
9UGT4,PS50958,27,66
9UGT4,PS00524,42,62
9UGT4,PS50856,285,433
9UGT4,PS51233,445,639
9UGT4,PS50923,723,780
25378,PS51421,9,209
9H244,PS50262,42,298
49238,PS50262,48,293
49238,PS00237,115,131
24367,PS50893,158,430
24367,PS50893,843,1095
96NR3,PS50156,268,427
04775,PS50096,1905,1934
08733,PS00221,112,120
11234,PS51421,10,206
08953,PS51450,175,195
08953,PS51450,198,219
08953,PS51450,222,243
08953,PS51450,270,291
08953,PS51450,367,388
08953,PS51450,391,412
08953,PS51450,415,436
08953,PS51450,439,460
08953,PS51450,474,495
08953,PS51450,498,521
08953,PS51450,669,690
08953,PS51450,693,713
08953,PS51450,715,738
08953,PS50104,857,993
8R4G0,PS51117,46,296
8R4G0,PS50027,297,356
8R4G0,PS00022,315,326
8R4G0,PS50027,364,419
8R4G0,PS01248,384,420
8R4G0,PS50027,420,469
8R4G0,PS00022,438,449
8R4G0,PS50026,463,498
8R4G0,PS00022,486,497
9LYU7,PS50011,118,401
2EG98,PS50221,909,1071
2EG98,PS50095,1129,1246
9S752,PS50089,319,358
9JKB0,PS50042,464,570
9JKB0,PS00888,491,507
78348,PS01206,305,325
30273,PS51055,54,82
80662,PS50404,1,80
80662,PS50405,120,250
9LVI6,PS50011,365,639
9LVI6,PS00107,371,393
61088,PS50038,40,161
61088,PS50261,219,503
43287,PS00221,103,111
43286,PS00221,105,113
63344,PS50850,25,432
969I6,PS00634,495,527
53379,PS51767,81,468
53379,PS00141,96,107
53379,PS00141,357,368
5ANA3,PS50893,150,404
5ANA3,PS00211,303,317
5ANA3,PS50893,859,1103
12256,PS00216,146,162
19327,PS50262,53,400
19327,PS00237,122,138
28566,PS50262,39,344
28566,PS00237,108,124
28565,PS50262,52,353
28565,PS00237,121,137
28564,PS50262,62,365
28564,PS00237,131,147
8R456,PS50262,87,347
8R456,PS00237,156,172
8R456,PS00238,331,347
43353,PS00687,209,216
43353,PS00070,237,248
30530,PS50835,27,128
30530,PS50835,139,222
30530,PS50853,227,331
30530,PS50853,336,428
30530,PS50011,536,807
30530,PS00107,542,567
30530,PS00109,668,680
13641,PS51450,92,113
13641,PS51450,143,164
13641,PS51450,211,232
13641,PS51450,235,256
13641,PS51450,259,280
9UM73,PS50060,264,427
9UM73,PS50060,478,636
9UM73,PS50011,1116,1392
9UM73,PS00107,1122,1150
9UM73,PS00109,1245,1257
9UM73,PS00239,1276,1284
63138,PS00236,160,174
9ZSY3,PS50850,54,476
9ZSY3,PS00216,108,125
9ZSY3,PS00217,150,175
51172,PS01206,387,407
81445,PS50222,67,102
81445,PS50222,104,139
81445,PS00018,117,129
81445,PS50222,148,183
81445,PS00018,161,173
12303,PS51767,63,394
12303,PS00141,78,89
12303,PS00141,285,296
14931,PS50835,14,111
5EG88,PS00236,157,171
9LSD8,PS50053,7,73
8L796,PS51455,351,750
8VYG0,PS50011,358,633
8VYG0,PS00107,364,386
8VYG0,PS00108,478,490
95QW4,PS00213,380,392
9ZWC8,PS51450,103,124
9ZWC8,PS51450,126,147
9ZWC8,PS51450,176,197
9ZWC8,PS51450,202,224
9ZWC8,PS51450,227,248
9ZWC8,PS51450,252,274
9ZWC8,PS51450,278,300
9ZWC8,PS51450,303,325
9ZWC8,PS51450,327,349
9ZWC8,PS51450,376,397
9ZWC8,PS51450,427,449
9ZWC8,PS51450,476,498
9ZWC8,PS51450,548,570
9ZWC8,PS51450,664,686
9ZWC8,PS51450,688,710
9ZWC8,PS51450,712,734
9ZWC8,PS50011,859,1147
9ZWC8,PS00107,865,888
9ZWC8,PS00108,983,995
86SQ4,PS01180,41,149
86SQ4,PS51828,154,356
86SQ4,PS50221,670,853
86SQ4,PS50261,864,1118
86SQ4,PS00650,1106,1121
18089,PS50262,29,423
18089,PS00237,98,114
7XJT7,PS50011,50,291
73798,PS50853,483,603
73798,PS50853,604,702
73798,PS50853,829,924
73798,PS50011,995,1270
73798,PS00107,1001,1029
73798,PS00109,1127,1139
73798,PS00239,1155,1163
5A7P9,PS00678,369,383
42371,PS51450,93,115
42371,PS51450,117,140
42371,PS51450,141,163
42371,PS51450,165,187
42371,PS51450,189,212
42371,PS51450,237,259
42371,PS51450,260,282
42371,PS51450,284,306
42371,PS51450,308,330
42371,PS51450,332,355
42371,PS51450,380,401
42371,PS51450,404,425
42371,PS51450,428,449
42371,PS51450,452,473
42371,PS51450,476,498
42371,PS51450,500,522
42371,PS51450,523,545
42371,PS50011,648,918
42371,PS00107,654,676
42371,PS00108,769,781
9W534,PS50262,53,363
9W534,PS00237,122,138
12791,PS51201,407,549
12791,PS51201,839,983
12791,PS00092,1156,1162
62962,PS01206,302,322
02013,PS00221,74,82
59XM0,PS50850,143,682
9Y6L6,PS50850,30,647
9Y6L6,PS51465,453,508
0PJK1,PS50283,17,493
0PJK1,PS00457,461,481
9SVQ3,PS51334,65,429
8TDU6,PS50262,31,280
00788,PS50262,54,325
00788,PS00237,125,141
9JJV4,PS01346,65,80
97148,PS50261,214,478
3E7D0,PS00041,340,381
9LYN8,PS50011,917,1192
