sequence_id,signature_ac,start,stop
P63033,PS51421,15,266
A2CI98,PS50135,223,279
A2CI98,PS01357,228,255
O75326,PS51004,53,490
O75326,PS50835,544,619
P93004,PS00221,98,106
Q96FE7,PS50070,24,101
Q96FE7,PS00021,69,82
Q6QNK2,PS51828,79,276
Q6QNK2,PS50221,371,557
Q6QNK2,PS50261,566,810
Q6QNK2,PS00650,798,813
Q708S7,PS01206,307,327
Q708S6,PS01206,305,325
O23507,PS00142,272,281
P33527,PS50929,326,608
P33527,PS50893,644,868
P33527,PS00107,680,705
P33527,PS00211,768,782
P33527,PS50929,976,1256
P33527,PS50893,1293,1527
P33527,PS00211,1430,1444
Q708S8,PS01206,338,358
Q9Y4C2,PS51723,542,841
O93295,PS01238,161,176
G5EBN9,PS50267,29,559
G5EBN9,PS00610,54,68
O54982,PS51201,331,473
O54982,PS51201,718,889
Q24210,PS50011,12,278
Q24210,PS51022,343,397
Q24210,PS51022,402,461
Q24210,PS50106,495,576
Q24210,PS50002,582,651
Q24210,PS50052,711,883
Q24210,PS00856,746,763
Q9SVT8,PS01219,206,231
Q42438,PS50011,57,315
Q42438,PS00107,63,86
Q42438,PS00108,177,189
Q42438,PS50222,358,393
Q42438,PS50222,395,430
Q42438,PS00018,408,420
Q42438,PS50222,431,466
Q42438,PS00018,444,456
Q42438,PS50222,467,502
Q42438,PS00018,480,492
Q5QGZ9,PS50041,140,249
Q9GKE8,PS50835,3,125
Q8NCG7,PS00120,437,446
Q14246,PS50026,31,68
Q14246,PS00010,47,58
Q14246,PS01187,80,106
Q14246,PS50026,80,118
Q14246,PS00010,97,108
Q14246,PS01187,132,157
Q14246,PS50026,132,171
Q14246,PS00010,148,159
Q14246,PS01186,157,170
Q14246,PS01187,172,197
Q14246,PS50026,172,209
Q14246,PS00010,188,199
Q14246,PS01187,221,244
Q14246,PS50026,221,256
Q14246,PS00010,235,246
Q14246,PS01187,268,294
Q14246,PS50026,268,305
Q14246,PS00010,285,296
Q14246,PS50221,431,597
Q14246,PS50261,602,848
Q14246,PS00650,836,851
Q9TV66,PS50042,596,711
Q9TV66,PS00888,623,639
Q8GWJ6,PS50053,8,76
Q923X1,PS50026,18,57
Q923X1,PS01186,42,56
Q923X1,PS01187,58,83
Q923X1,PS50026,58,95
Q923X1,PS00010,74,85
Q923X1,PS01187,108,133
Q923X1,PS50026,108,145
Q923X1,PS00010,124,135
Q923X1,PS50221,293,468
Q923X1,PS50261,476,717
Q923X1,PS00650,705,720
Q949G3,PS50893,165,438
Q949G3,PS50893,838,1090
Q9C6K9,PS50011,291,565
Q9C6K9,PS00107,297,319
Q9C6K9,PS00108,412,424
D2K6F1,PS51202,211,295
D2K6F1,PS51202,317,401
D2K6F1,PS51202,406,491
D2K6F1,PS51202,497,583
Q9LFB8,PS01022,86,110
Q9LFB8,PS01023,183,195
Q02785,PS50893,144,397
Q02785,PS50893,836,1084
Q9VWE0,PS50853,227,327
Q9VWE0,PS50853,329,431
Q9VWE0,PS50853,436,535
Q9VWE0,PS50853,537,631
Q9VWE0,PS00152,541,550
Q9VWE0,PS50853,635,735
Q9VWE0,PS50853,736,836
Q8W4I7,PS50011,54,312
Q8W4I7,PS00107,60,83
Q8W4I7,PS00108,174,186
Q8W4I7,PS50222,355,390
Q8W4I7,PS00018,368,380
Q8W4I7,PS50222,391,426
Q8W4I7,PS50222,427,462
Q8W4I7,PS50222,463,498
Q8W4I7,PS00018,476,488
G5EGT9,PS50814,22,147
G5EGT9,PS50011,281,583
G5EGT9,PS00109,434,446
Q03614,PS50267,39,578
Q03614,PS00610,64,78
Q03614,PS00754,147,167
Q9UGT4,PS50958,27,66
Q9UGT4,PS00524,42,62
Q9UGT4,PS50856,285,433
Q9UGT4,PS51233,445,639
Q9UGT4,PS50923,723,780
P25378,PS51421,9,209
Q9H244,PS50262,42,298
P49238,PS50262,48,293
P49238,PS00237,115,131
O24367,PS50893,158,430
O24367,PS50893,843,1095
Q96NR3,PS50156,268,427
P04775,PS50096,1905,1934
Q08733,PS00221,112,120
P11234,PS51421,10,206
P08953,PS51450,175,195
P08953,PS51450,198,219
P08953,PS51450,222,243
P08953,PS51450,270,291
P08953,PS51450,367,388
P08953,PS51450,391,412
P08953,PS51450,415,436
P08953,PS51450,439,460
P08953,PS51450,474,495
P08953,PS51450,498,521
P08953,PS51450,669,690
P08953,PS51450,693,713
P08953,PS51450,715,738
P08953,PS50104,857,993
Q8R4G0,PS51117,46,296
Q8R4G0,PS50027,297,356
Q8R4G0,PS00022,315,326
Q8R4G0,PS50027,364,419
Q8R4G0,PS01248,384,420
Q8R4G0,PS50027,420,469
Q8R4G0,PS00022,438,449
Q8R4G0,PS50026,463,498
Q8R4G0,PS00022,486,497
Q9LYU7,PS50011,118,401
Q2EG98,PS50221,909,1071
Q2EG98,PS50095,1129,1246
Q9S752,PS50089,319,358
Q9JKB0,PS50042,464,570
Q9JKB0,PS00888,491,507
P78348,PS01206,305,325
P30273,PS51055,54,82
O80662,PS50404,1,80
O80662,PS50405,120,250
Q9LVI6,PS50011,365,639
Q9LVI6,PS00107,371,393
Q61088,PS50038,40,161
Q61088,PS50261,219,503
P43287,PS00221,103,111
P43286,PS00221,105,113
Q63344,PS50850,25,432
Q969I6,PS00634,495,527
P53379,PS51767,81,468
P53379,PS00141,96,107
P53379,PS00141,357,368
Q5ANA3,PS50893,150,404
Q5ANA3,PS00211,303,317
Q5ANA3,PS50893,859,1103
Q12256,PS00216,146,162
P19327,PS50262,53,400
P19327,PS00237,122,138
P28566,PS50262,39,344
P28566,PS00237,108,124
P28565,PS50262,52,353
P28565,PS00237,121,137
P28564,PS50262,62,365
P28564,PS00237,131,147
Q8R456,PS50262,87,347
Q8R456,PS00237,156,172
Q8R456,PS00238,331,347
P43353,PS00687,209,216
P43353,PS00070,237,248
P30530,PS50835,27,128
P30530,PS50835,139,222
P30530,PS50853,227,331
P30530,PS50853,336,428
P30530,PS50011,536,807
P30530,PS00107,542,567
P30530,PS00109,668,680
Q13641,PS51450,92,113
Q13641,PS51450,143,164
Q13641,PS51450,211,232
Q13641,PS51450,235,256
Q13641,PS51450,259,280
Q9UM73,PS50060,264,427
Q9UM73,PS50060,478,636
Q9UM73,PS50011,1116,1392
Q9UM73,PS00107,1122,1150
Q9UM73,PS00109,1245,1257
Q9UM73,PS00239,1276,1284
P63138,PS00236,160,174
A9ZSY3,PS50850,54,476
A9ZSY3,PS00216,108,125
A9ZSY3,PS00217,150,175
P51172,PS01206,387,407
O81445,PS50222,67,102
O81445,PS50222,104,139
O81445,PS00018,117,129
O81445,PS50222,148,183
O81445,PS00018,161,173
Q12303,PS51767,63,394
Q12303,PS00141,78,89
Q12303,PS00141,285,296
O14931,PS50835,14,111
G5EG88,PS00236,157,171
Q9LSD8,PS50053,7,73
Q8L796,PS51455,351,750
Q8VYG0,PS50011,358,633
Q8VYG0,PS00107,364,386
Q8VYG0,PS00108,478,490
Q95QW4,PS00213,380,392
Q9ZWC8,PS51450,103,124
Q9ZWC8,PS51450,126,147
Q9ZWC8,PS51450,176,197
Q9ZWC8,PS51450,202,224
Q9ZWC8,PS51450,227,248
Q9ZWC8,PS51450,252,274
Q9ZWC8,PS51450,278,300
Q9ZWC8,PS51450,303,325
